vaalipiiri;id;puolue;sukupuoli;toimin tällä hetkellä kansanedustajana;valittu;koulutus;vuositulot;suomessa on liian helppo elää sosiaaliturvan varassa;kaupan ja muiden liikkeiden aukioloajat on vapautettava;suomessa on siirryttävä perustuloon joka korvaisi nykyisen sosiaaliturvan vähimmäistason;työntekijälle on turvattava lailla minimityöaika;ansiosidonnaisen työttömyysturvan kestoa pitää lyhentää;euron ulkopuolella suomi pärjäisi paremmin;ruoan verotusta on varaa kiristää;valtion ja kuntien taloutta on tasapainotettava ensisijaisesti leikkaamalla menoja;lapsilisiä on korotettava ja laitettava verolle;suomella ei ole varaa nykyisen laajuisiin sosiaali- ja terveyspalveluihin;nato-jäsenyys vahvistaisi suomen turvallisuuspoliittista asemaa;suomeen tarvitaan enemmän poliiseja;maahanmuuttoa suomeen on rajoitettava terrorismin uhan vuoksi;venäjän etupiiripolitiikka on uhka suomelle;verkkovalvonnassa valtion turvallisuus on tärkeämpää kuin kansalaisten yksityisyyden suoja;suomen on osallistuttava isisin vastaiseen taisteluun kouluttamalla irakin hallituksen joukkoja;parantumattomasti sairaalla on oltava oikeus avustettuun kuolemaan;terveys- ja sosiaalipalvelut on tuotettava ensijaisesti julkisina palveluina;viranomaisten pitää puuttua lapsiperheiden ongelmiin nykyistä herkemmin;vanhuksen ja hänen omaistensa vastuuta hoitokustannuksista on lisättävä;kansalaisten oikeus terveyspalveluihin on tärkeämpää kuin kuntien itsehallinto;ilmastonmuutoksen hillitseminen pitää asettaa teollisuuden kilpailukyvyn edelle;geenimuunneltu ruoka on turvallista ihmiselle ja ympäristölle;suomen pitää ottaa suurempi vastuu eu:n alueelle tulevista turvapaikanhakijoista;on aika luopua ajatuksesta, että koko suomi on pidettävä asuttuna;peruskoulun opetusryhmien koko on rajattava lailla esimerkiksi 20 oppilaaseen
08;4844;5;0;0;0;1;0;4;5;1;2;1;4;1;4;1;1;4;5;4;2;4;1;2;5;5;4;5;1;1;2;1;4
12;5750;3;1;0;0;1;0;2;5;5;2;2;2;2;2;4;4;5;5;1;5;4;5;5;4;5;5;5;5;4;4;5;4
07;5535;1;1;0;0;0;0;1;2;1;5;1;4;1;2;1;1;1;4;5;2;1;5;4;5;4;1;1;2;1;1;2;4
12;4706;0;1;0;0;0;0;1;2;4;5;1;5;1;1;5;1;1;2;1;1;1;1;5;5;5;1;5;5;1;5;1;5
13;5190;6;1;0;0;1;0;2;2;1;5;4;2;1;4;2;4;1;5;2;4;5;4;1;4;5;2;4;5;2;4;1;5
11;5630;3;1;0;1;1;0;1;5;5;2;4;2;2;1;4;1;2;4;1;4;2;4;5;5;4;1;5;4;2;4;2;4
08;4333;3;0;0;0;1;0;2;5;5;2;2;2;2;2;1;5;1;2;2;4;4;2;4;4;4;2;4;5;4;2;4;2
07;4683;1;1;0;0;1;0;1;2;4;5;1;2;1;1;2;1;2;2;1;2;2;1;4;5;5;2;4;4;2;4;1;2
10;4890;1;0;0;0;1;0;2;4;5;5;2;2;1;1;4;2;1;4;2;2;3;2;4;5;4;2;4;5;2;4;1;5
12;4468;5;0;0;0;0;0;5;4;4;4;4;4;1;4;4;4;2;4;4;4;5;2;4;2;5;2;5;4;1;1;1;5
11;6077;1;1;0;0;1;0;5;2;5;5;1;4;1;1;1;1;1;2;1;2;1;2;4;5;5;1;5;5;2;5;1;5
02;4600;8;0;0;0;1;0;1;5;4;4;2;1;1;4;2;4;4;4;1;4;2;4;5;4;5;2;4;4;2;5;2;4
08;5145;1;1;0;0;1;0;2;4;5;5;1;2;1;2;4;1;1;4;1;2;2;1;4;5;5;2;2;4;4;5;4;4
02;4991;8;1;0;1;1;1;2;2;4;2;2;1;2;4;1;2;4;4;1;4;2;4;4;4;5;2;4;4;2;5;2;4
02;4873;8;0;0;0;1;0;2;4;2;3;4;2;2;4;2;4;2;4;2;2;4;4;4;4;2;2;4;2;3;4;1;4
13;5689;1;0;0;0;1;0;1;2;5;5;1;2;1;1;2;1;1;5;1;1;1;1;5;5;4;1;2;5;1;5;1;5
13;4771;0;1;0;0;0;0;1;4;4;5;1;5;2;1;4;1;1;4;1;1;1;1;5;5;5;1;1;5;2;5;1;5
01;5379;5;0;0;0;1;0;5;5;1;1;5;2;1;5;3;4;1;5;4;4;5;1;3;5;5;1;5;2;1;1;3;5
10;4445;8;1;0;0;1;1;1;4;1;1;4;1;1;4;1;4;4;2;1;4;4;4;2;4;2;4;2;2;1;5;2;2
03;5577;4;1;0;0;0;0;2;2;4;4;1;5;1;4;2;1;1;4;2;2;1;1;5;5;4;1;3;4;1;2;1;4
02;5013;1;0;0;0;1;0;1;4;5;4;1;2;1;2;4;1;1;2;1;2;2;2;5;5;5;1;4;5;1;4;4;4
07;4511;5;1;0;0;1;0;5;5;4;2;4;5;1;2;2;2;1;4;5;4;4;1;2;4;4;4;4;2;1;1;1;2
08;4498;9;1;0;0;0;0;5;4;5;4;4;4;2;5;4;5;5;5;5;5;5;2;5;5;5;4;5;2;1;1;2;2
04;5550;2;1;0;0;0;0;2;4;1;5;1;2;1;2;5;2;1;4;1;2;2;4;5;4;4;2;2;2;2;4;2;2
01;4668;0;1;0;0;1;0;4;5;5;1;4;2;1;5;1;2;5;3;4;5;2;3;5;2;3;3;5;2;4;1;5;3
11;4638;9;0;0;0;1;0;4;4;4;4;2;1;2;5;1;4;4;4;2;4;4;2;2;2;2;2;4;4;1;2;2;2
01;4896;1;1;0;0;1;0;2;2;5;5;1;4;1;1;5;2;1;4;2;2;1;1;5;5;4;1;5;5;1;5;4;5
07;5644;2;1;0;0;1;0;4;2;1;5;1;2;1;2;4;2;1;5;2;2;4;2;4;5;5;1;4;1;4;2;4;4
02;4489;6;0;0;0;1;0;4;2;4;2;2;2;2;4;2;5;4;4;2;5;4;2;1;4;5;1;5;4;3;2;1;2
08;4358;6;0;0;0;0;0;2;2;2;5;4;2;1;4;2;2;1;4;2;4;4;1;1;4;5;4;5;2;1;4;1;4
06;4472;4;1;0;0;0;0;4;4;4;1;4;5;1;4;2;5;1;5;5;2;4;1;2;5;4;1;2;5;1;1;1;5
02;5841;8;0;0;0;1;1;2;4;4;2;4;1;1;4;1;4;4;5;1;2;5;2;2;5;5;1;5;4;2;5;4;4
02;5737;1;0;0;0;1;0;1;2;5;5;1;3;1;1;1;1;1;4;1;2;3;4;4;5;5;1;4;5;1;5;1;5
10;5713;3;0;0;0;1;0;1;4;5;2;2;2;1;1;2;1;1;4;1;2;1;2;4;4;5;2;4;5;2;5;2;4
03;5303;7;1;0;1;1;1;2;4;4;2;2;4;1;2;2;2;2;4;2;4;4;1;4;4;4;4;4;2;4;2;2;2
02;5321;9;1;0;0;0;0;4;5;4;2;4;1;1;5;4;4;4;4;4;2;2;4;1;1;4;4;4;2;2;4;2;1
01;5635;3;0;0;0;1;0;1;5;5;2;4;1;1;1;4;1;1;4;1;2;1;1;5;5;4;4;5;5;2;5;4;5
01;5541;3;0;1;1;1;1;1;2;5;5;1;2;1;1;4;1;1;2;1;4;2;4;5;5;5;1;5;5;1;5;2;5
12;5144;2;1;0;0;0;0;4;5;1;5;1;4;1;4;2;2;2;5;4;4;4;3;4;5;5;1;5;1;5;1;1;5
07;4528;7;1;1;1;1;0;4;2;4;4;2;4;1;2;2;2;1;4;4;4;4;2;4;4;4;2;4;2;2;2;1;4
09;5345;7;1;0;0;1;0;2;4;4;2;2;2;2;4;4;2;4;2;2;4;4;3;4;4;2;4;4;2;2;4;2;2
